question,answer,context_1,context_2,context_3
پایتون چیست؟,پایتون یک زبان برنامه‌نویسی سطح بالا است.,پایتون یک زبان برنامه‌نویسی سطح بالا است.,توسط گیدو فان روسوم ایجاد شد.,در توسعه وب استفاده می‌شود.
RAG چیست؟,RAG ترکیبی از بازیابی اطلاعات و تولید متن است.,RAG مخفف Retrieval Augmented Generation است.,ابتدا اسناد بازیابی می‌شوند.,سپس مدل پاسخ تولید می‌کند.
Embedding چیست؟,Embedding نمایش برداری متن است.,Embedding نمایش برداری داده‌ها است.,برای جستجوی معنایی استفاده می‌شود.,شباهت معنایی را حفظ می‌کند.
LLM چیست؟,LLM یک مدل زبانی بزرگ است.,LLM مخفف Large Language Model است.,روی داده‌های متنی آموزش می‌بیند.,برای تولید متن استفاده می‌شود.
هوش مصنوعی چیست؟,هوش مصنوعی توانایی انجام وظایف هوشمند توسط ماشین است.,هوش مصنوعی شاخه‌ای از علوم کامپیوتر است.,در صنایع مختلف کاربرد دارد.,برای حل مسائل پیچیده استفاده می‌شود.
یادگیری ماشین چیست؟,یادگیری ماشین زیرشاخه‌ای از هوش مصنوعی است.,الگوریتم‌ها از داده یاد می‌گیرند.,برای پیش‌بینی استفاده می‌شود.,نیاز به برنامه‌نویسی صریح را کاهش می‌دهد.
API چیست؟,API رابط برنامه‌نویسی کاربردی است.,به نرم‌افزارها اجازه ارتباط می‌دهد.,برای تبادل داده استفاده می‌شود.,توسعه را ساده‌تر می‌کند.
Git چیست؟,Git سیستم کنترل نسخه توزیع‌شده است.,تغییرات کد را مدیریت می‌کند.,برای همکاری تیمی مناسب است.,متن‌باز است.
Docker چیست؟,Docker پلتفرمی برای کانتینرسازی است.,برنامه‌ها را در کانتینر اجرا می‌کند.,استقرار را ساده می‌کند.,قابل حمل است.
SQL چیست؟,SQL زبان پرس‌وجوی پایگاه داده است.,برای پایگاه داده رابطه‌ای استفاده می‌شود.,از دستورات SELECT و INSERT پشتیبانی می‌کند.,استاندارد صنعت است.
